Date,Congestion_Level,Avg_Speed_kmph
2022-12-04,1,38.01
2022-12-05,2,36.5
2022-12-06,2,34.92
2022-12-07,2,33.11
2022-12-08,4,25.04
2022-12-09,5,17.67
2022-12-10,1,40.34
2022-12-11,2,35.68
2022-12-12,5,16.78
2022-12-13,4,25.76
2022-12-14,5,19.85
2022-12-15,2,37.57
2022-12-16,5,26.64
2022-12-17,1,38.73
2022-12-18,1,38.92
2022-12-19,5,21.6
2022-12-20,3,28.23
2022-12-21,5,21.54
2022-12-22,2,34.23
2022-12-23,5,22.52
2022-12-24,3,28.86
2022-12-25,1,39.5
2022-12-26,3,30.91
2022-12-27,2,36.26
2022-12-28,5,24.2
2022-12-29,5,21.25
2022-12-30,2,36.45
2022-12-31,2,36.75
2023-01-01,1,39.14
2023-01-02,3,28.1
2023-01-03,2,35.24
2023-01-04,5,24.09
2023-01-05,5,17.8
2023-01-06,3,28.67
2023-01-07,2,31.9
2023-01-08,1,37.76
2023-01-09,3,28.29
2023-01-10,5,20.08
2023-01-11,3,33.49
2023-01-12,2,32.94
2023-01-13,3,29.71
2023-01-14,2,32.74
2023-01-15,2,31.5
2023-01-16,1,42.29
2023-01-17,5,24.17
2023-01-18,2,38.22
2023-01-19,3,28.47
2023-01-20,2,35.28
2023-01-21,3,29.49
2023-01-22,1,39.94
2023-01-23,3,31.63
2023-01-24,2,36.53
2023-01-25,1,37.29
2023-01-26,1,40.93
2023-01-27,3,30.32
2023-01-28,3,28.26
2023-01-29,3,32.92
2023-01-30,1,39.22
2023-01-31,2,35.28
2023-02-01,2,33.06
2023-02-02,1,37.54
2023-02-03,1,38.26
2023-02-04,3,28.74
2023-02-05,2,33.68
2023-02-06,4,23.41
2023-02-07,3,31.24
2023-02-08,2,36.47
2023-02-09,4,27.14
2023-02-10,3,30.54
2023-02-11,1,39.29
2023-02-12,2,35.34
2023-02-13,5,19.4
2023-02-14,3,30.72
2023-02-15,4,25.96
2023-02-16,2,37.84
2023-02-17,4,23.56
2023-02-18,5,18.28
2023-02-19,2,33.66
2023-02-20,1,39.73
2023-02-21,1,41.97
2023-02-22,3,29.12
2023-02-23,2,37.44
2023-02-24,4,23.63
2023-02-25,2,33.68
2023-02-26,4,26.56
2023-02-27,3,31.2
2023-02-28,2,32.61
2023-03-01,3,31.85
2023-03-02,2,38.31
2023-03-03,3,33.59
2023-03-04,2,33.47
2023-03-05,1,38.19
2023-03-06,2,32.6
2023-03-07,3,29.13
2023-03-08,3,27.68
2023-03-09,2,36.39
2023-03-10,4,22.3
2023-03-11,2,31.92
2023-03-12,1,36.55
2023-03-13,2,32.47
2023-03-14,2,35.55
2023-03-15,2,34.39
2023-03-16,2,35.59
2023-03-17,5,15.0
2023-03-18,2,38.75
2023-03-19,1,39.55
2023-03-20,2,37.07
2023-03-21,3,28.52
2023-03-22,2,30.97
2023-03-23,4,24.28
2023-03-24,2,33.78
2023-03-25,2,33.28
2023-03-26,3,31.29
2023-03-27,3,28.17
2023-03-28,1,42.75
2023-03-29,5,21.07
2023-03-30,2,37.91
2023-03-31,1,41.15
2023-04-01,1,40.75
2023-04-02,1,40.85
2023-04-03,2,33.14
2023-04-04,5,18.77
2023-04-05,1,36.44
2023-04-06,2,30.51
2023-04-07,2,36.95
2023-04-08,1,41.31
2023-04-09,2,32.34
2023-04-10,4,24.38
2023-04-11,5,19.63
2023-04-12,3,30.1
2023-04-13,1,40.18
2023-04-14,3,32.07
2023-04-15,3,29.74
2023-04-16,2,31.83
2023-04-17,5,20.63
2023-04-18,5,18.3
2023-04-19,2,37.46
2023-04-20,1,39.85
2023-04-21,4,23.95
2023-04-22,4,27.53
2023-04-23,3,28.04
2023-04-24,2,35.02
2023-04-25,3,28.95
2023-04-26,3,29.87
2023-04-27,4,21.21
2023-04-28,3,30.46
2023-04-29,3,30.38
2023-04-30,3,31.85
2023-05-01,2,37.68
2023-05-02,2,37.97
2023-05-03,4,23.03
2023-05-04,4,22.16
2023-05-05,2,34.0
2023-05-06,1,38.73
2023-05-07,1,38.15
2023-05-08,5,23.66
2023-05-09,2,33.15
2023-05-10,4,25.2
2023-05-11,2,36.41
2023-05-12,3,27.07
2023-05-13,4,24.39
2023-05-14,2,36.55
2023-05-15,2,35.09
2023-05-16,4,25.09
2023-05-17,4,24.45
2023-05-18,3,30.74
2023-05-19,2,36.48
2023-05-20,2,38.68
2023-05-21,3,30.66
2023-05-22,4,23.94
2023-05-23,4,23.09
2023-05-24,1,39.21
2023-05-25,1,40.26
2023-05-26,1,42.77
2023-05-27,2,34.39
2023-05-28,3,26.78
2023-05-29,4,27.33
2023-05-30,2,35.88
2023-05-31,1,39.96
2023-06-01,2,37.48
2023-06-02,1,39.18
2023-06-03,1,38.57
2023-06-04,2,35.95
2023-06-05,2,35.86
2023-06-06,4,25.43
2023-06-07,2,36.9
2023-06-08,4,27.03
2023-06-09,3,29.68
2023-06-10,3,32.0
2023-06-11,1,39.27
2023-06-12,4,22.98
2023-06-13,2,35.37
2023-06-14,3,30.7
2023-06-15,2,37.35
2023-06-16,1,39.84
2023-06-17,2,36.84
2023-06-18,3,26.61
2023-06-19,4,24.03
2023-06-20,3,29.95
2023-06-21,3,32.6
2023-06-22,1,41.54
2023-06-23,2,35.99
2023-06-24,2,34.39
2023-06-25,2,35.84
2023-06-26,2,36.18
2023-06-27,4,26.14
2023-06-28,1,40.29
2023-06-29,3,29.72
2023-06-30,2,33.66
2023-07-01,2,37.56
2023-07-02,2,33.26
2023-07-03,4,26.05
2023-07-04,4,20.76
2023-07-05,1,40.29
2023-07-06,3,30.38
2023-07-07,4,22.99
2023-07-08,1,40.13
2023-07-09,1,41.1
2023-07-10,4,22.16
2023-07-11,4,21.15
2023-07-12,2,35.19
2023-07-13,3,26.94
2023-07-14,2,36.88
2023-07-15,2,36.94
2023-07-16,3,29.44
2023-07-17,1,37.3
2023-07-18,2,33.94
2023-07-19,2,31.42
2023-07-20,2,37.64
2023-07-21,1,36.97
2023-07-22,2,38.95
2023-07-23,2,33.69
2023-07-24,4,26.83
2023-07-25,4,26.56
2023-07-26,2,34.59
2023-07-27,3,31.5
2023-07-28,4,21.45
2023-07-29,3,25.87
2023-07-30,3,30.47
2023-07-31,2,35.71
2023-08-01,1,41.9
2023-08-02,4,19.94
2023-08-03,2,36.57
2023-08-04,2,34.76
2023-08-05,2,34.42
2023-08-06,1,37.87
2023-08-07,3,31.06
2023-08-08,2,35.15
2023-08-09,4,23.5
2023-08-10,4,21.92
2023-08-11,2,34.82
2023-08-12,3,26.32
2023-08-13,2,34.1
2023-08-14,2,35.02
2023-08-15,3,31.44
2023-08-16,2,37.39
2023-08-17,1,39.87
2023-08-18,4,24.14
2023-08-19,2,37.15
2023-08-20,1,39.3
2023-08-21,2,32.91
2023-08-22,4,25.11
2023-08-23,2,36.09
2023-08-24,3,27.04
2023-08-25,2,34.33
2023-08-26,1,37.52
2023-08-27,2,34.94
2023-08-28,3,33.65
2023-08-29,4,24.5
2023-08-30,2,33.53
2023-08-31,2,34.42
2023-09-01,2,38.49
2023-09-02,1,42.16
2023-09-03,1,41.72
2023-09-04,2,36.51
2023-09-05,5,25.65
2023-09-06,4,24.58
2023-09-07,3,31.66
2023-09-08,2,35.7
2023-09-09,1,41.91
2023-09-10,2,36.9
2023-09-11,4,27.46
2023-09-12,2,31.43
2023-09-13,5,20.76
2023-09-14,3,29.51
2023-09-15,3,31.74
2023-09-16,1,38.5
2023-09-17,1,37.61
2023-09-18,3,32.62
2023-09-19,4,24.21
2023-09-20,4,23.05
2023-09-21,5,21.71
2023-09-22,2,35.21
2023-09-23,1,42.53
2023-09-24,2,34.36
2023-09-25,1,38.5
2023-09-26,1,37.74
2023-09-27,3,30.66
2023-09-28,1,38.31
2023-09-29,5,18.82
2023-09-30,2,36.78
2023-10-01,1,43.39
2023-10-02,3,30.06
2023-10-03,2,35.4
2023-10-04,1,40.45
2023-10-05,3,27.07
2023-10-06,1,43.05
2023-10-07,1,45.06
2023-10-08,2,33.27
2023-10-09,4,23.22
2023-10-10,1,39.71
2023-10-11,3,29.64
2023-10-12,3,27.07
2023-10-13,3,28.96
2023-10-14,2,34.3
2023-10-15,2,35.61
2023-10-16,2,33.7
2023-10-17,2,34.25
2023-10-18,4,25.14
2023-10-19,2,34.63
2023-10-20,1,40.33
2023-10-21,2,36.07
2023-10-22,2,34.51
2023-10-23,2,33.88
2023-10-24,3,32.39
2023-10-25,3,31.98
2023-10-26,3,28.34
2023-10-27,1,40.4
2023-10-28,1,35.15
2023-10-29,2,34.95
2023-10-30,3,26.57
2023-10-31,2,32.0
2023-11-01,3,29.43
2023-11-02,4,22.79
2023-11-03,4,28.18
2023-11-04,2,33.43
2023-11-05,1,42.65
2023-11-06,3,29.09
2023-11-07,4,23.7
2023-11-08,3,28.79
2023-11-09,3,29.61
2023-11-10,3,32.56
2023-11-11,3,30.4
2023-11-12,2,40.27
2023-11-13,2,37.68
2023-11-14,2,36.78
2023-11-15,4,25.7
2023-11-16,1,41.12
2023-11-17,5,18.89
2023-11-18,2,36.3
2023-11-19,2,37.71
2023-11-20,3,27.79
2023-11-21,4,27.79
2023-11-22,5,19.62
2023-11-23,3,31.09
2023-11-24,2,36.28
2023-11-25,1,39.04
2023-11-26,2,33.72
2023-11-27,1,42.16
2023-11-28,5,22.13
2023-11-29,3,26.54
2023-11-30,1,34.9
2023-12-01,2,30.86
2023-12-02,2,34.65
2023-12-03,2,32.4
2023-12-04,2,35.62
2023-12-05,2,33.03
2023-12-06,3,29.68
2023-12-07,2,34.3
2023-12-08,1,38.47
2023-12-09,3,27.54
2023-12-10,1,38.71
2023-12-11,3,29.26
2023-12-12,5,19.24
2023-12-13,5,25.33
2023-12-14,5,18.91
2023-12-15,5,25.42
2023-12-16,1,40.32
2023-12-17,2,32.97
2023-12-18,2,33.17
2023-12-19,5,18.76
2023-12-20,2,36.77
2023-12-21,3,29.83
2023-12-22,3,30.82
2023-12-23,5,24.65
2023-12-24,3,28.64
2023-12-25,2,32.57
2023-12-26,3,29.45
2023-12-27,2,35.72
2023-12-28,3,29.27
2023-12-29,5,17.2
2023-12-30,2,35.02
2023-12-31,5,21.81
2024-01-01,3,30.06
2024-01-02,3,24.75
2024-01-03,5,27.11
2024-01-04,3,30.42
2024-01-05,2,30.69
2024-01-06,1,37.76
2024-01-07,2,34.36
2024-01-08,5,19.9
2024-01-09,1,36.13
2024-01-10,5,23.81
2024-01-11,5,22.62
2024-01-12,3,29.25
2024-01-13,1,40.02
2024-01-14,2,34.82
2024-01-15,4,26.73
2024-01-16,4,24.05
2024-01-17,2,34.39
2024-01-18,2,33.27
2024-01-19,3,32.59
2024-01-20,2,32.55
2024-01-21,3,33.92
2024-01-22,3,30.2
2024-01-23,3,31.66
2024-01-24,1,39.41
2024-01-25,2,38.51
2024-01-26,1,40.28
2024-01-27,3,29.16
2024-01-28,1,41.58
2024-01-29,1,38.54
2024-01-30,2,33.39
2024-01-31,2,34.08
2024-02-01,5,21.89
2024-02-02,4,28.89
2024-02-03,3,28.91
2024-02-04,2,31.57
2024-02-05,1,41.16
2024-02-06,3,31.14
2024-02-07,1,39.82
2024-02-08,2,31.86
2024-02-09,4,24.46
2024-02-10,4,22.01
2024-02-11,2,37.89
2024-02-12,2,34.83
2024-02-13,2,38.67
2024-02-14,1,41.88
2024-02-15,5,19.15
2024-02-16,3,32.69
2024-02-17,2,33.96
2024-02-18,3,28.26
2024-02-19,2,31.33
2024-02-20,2,34.73
2024-02-21,3,30.84
2024-02-22,2,39.67
2024-02-23,2,35.89
2024-02-24,2,31.77
2024-02-25,1,38.27
2024-02-26,4,27.46
2024-02-27,3,30.73
2024-02-28,1,40.53
2024-02-29,3,30.73
2024-03-01,4,27.48
2024-03-02,2,35.53
2024-03-03,3,29.5
2024-03-04,3,30.13
2024-03-05,2,36.99
2024-03-06,2,35.22
2024-03-07,4,22.71
2024-03-08,1,40.49
2024-03-09,2,37.68
2024-03-10,2,37.96
2024-03-11,2,33.54
2024-03-12,3,25.14
2024-03-13,5,20.78
2024-03-14,3,29.37
2024-03-15,3,31.11
2024-03-16,1,38.86
2024-03-17,1,37.34
2024-03-18,3,33.62
2024-03-19,3,30.15
2024-03-20,2,33.59
2024-03-21,2,37.31
2024-03-22,4,26.04
2024-03-23,2,36.91
2024-03-24,2,37.22
2024-03-25,1,41.84
2024-03-26,2,36.48
2024-03-27,2,36.7
2024-03-28,3,30.69
2024-03-29,2,33.1
2024-03-30,2,33.07
2024-03-31,2,35.62
2024-04-01,3,28.66
2024-04-02,3,31.26
2024-04-03,5,16.03
2024-04-04,5,18.3
2024-04-05,1,42.4
2024-04-06,2,37.39
2024-04-07,1,40.58
2024-04-08,1,40.3
2024-04-09,3,29.85
2024-04-10,4,24.16
2024-04-11,2,34.76
2024-04-12,3,28.56
2024-04-13,2,31.37
2024-04-14,2,29.99
2024-04-15,3,32.5
2024-04-16,2,36.32
2024-04-17,2,37.21
2024-04-18,5,19.72
2024-04-19,1,42.13
2024-04-20,2,34.44
2024-04-21,3,30.39
2024-04-22,3,27.94
2024-04-23,3,32.84
2024-04-24,2,36.27
2024-04-25,5,19.8
2024-04-26,5,19.47
2024-04-27,1,39.49
2024-04-28,2,33.34
2024-04-29,3,29.06
2024-04-30,5,20.49
2024-05-01,5,20.33
2024-05-02,2,37.22
2024-05-03,2,32.47
2024-05-04,2,30.61
2024-05-05,3,28.81
2024-05-06,2,35.82
2024-05-07,3,25.88
2024-05-08,2,36.87
2024-05-09,2,39.54
2024-05-10,2,36.56
2024-05-11,2,31.04
2024-05-12,3,30.05
2024-05-13,4,27.64
2024-05-14,3,29.38
2024-05-15,5,17.88
2024-05-16,2,34.79
2024-05-17,1,39.13
2024-05-18,3,30.6
2024-05-19,1,43.4
2024-05-20,4,27.29
2024-05-21,2,35.06
2024-05-22,2,33.08
2024-05-23,2,35.23
2024-05-24,3,30.02
2024-05-25,1,43.04
2024-05-26,5,22.59
2024-05-27,5,19.18
2024-05-28,2,31.74
2024-05-29,3,30.99
2024-05-30,4,29.08
2024-05-31,1,39.54
2024-06-01,2,37.89
2024-06-02,2,35.81
2024-06-03,4,24.09
2024-06-04,2,35.03
2024-06-05,3,30.03
2024-06-06,1,39.08
2024-06-07,3,33.54
2024-06-08,3,29.01
2024-06-09,1,40.97
2024-06-10,2,37.32
2024-06-11,4,29.69
2024-06-12,1,40.01
2024-06-13,2,32.27
2024-06-14,1,39.93
2024-06-15,1,37.66
2024-06-16,3,31.88
2024-06-17,2,39.22
2024-06-18,4,18.55
2024-06-19,2,37.65
2024-06-20,3,29.63
2024-06-21,4,22.76
2024-06-22,2,33.96
2024-06-23,2,34.67
2024-06-24,4,29.49
2024-06-25,2,35.67
2024-06-26,1,41.07
2024-06-27,3,30.1
2024-06-28,4,23.58
2024-06-29,1,39.24
2024-06-30,2,36.25
2024-07-01,4,17.21
2024-07-02,3,27.72
2024-07-03,3,28.3
2024-07-04,4,27.48
2024-07-05,2,30.5
2024-07-06,2,35.35
2024-07-07,1,40.54
2024-07-08,4,19.48
2024-07-09,4,28.54
2024-07-10,2,33.42
2024-07-11,2,33.25
2024-07-12,2,38.3
2024-07-13,1,40.1
2024-07-14,2,39.11
2024-07-15,1,40.5
2024-07-16,4,19.83
2024-07-17,3,30.76
2024-07-18,4,24.33
2024-07-19,4,22.46
2024-07-20,1,42.73
2024-07-21,1,42.73
2024-07-22,3,28.09
2024-07-23,4,25.99
2024-07-24,4,21.08
2024-07-25,1,39.21
2024-07-26,3,26.15
2024-07-27,2,34.49
2024-07-28,1,43.8
2024-07-29,3,27.65
2024-07-30,2,34.95
2024-07-31,3,27.75
2024-08-01,2,36.38
2024-08-02,3,26.49
2024-08-03,2,39.48
2024-08-04,4,20.65
2024-08-05,4,17.8
2024-08-06,2,35.14
2024-08-07,4,26.35
2024-08-08,3,33.89
2024-08-09,3,30.5
2024-08-10,1,40.9
2024-08-11,1,40.98
2024-08-12,3,33.77
2024-08-13,2,33.2
2024-08-14,2,35.27
2024-08-15,4,18.3
2024-08-16,2,32.5
2024-08-17,1,41.56
2024-08-18,2,36.77
2024-08-19,4,18.51
2024-08-20,1,42.16
2024-08-21,1,41.08
2024-08-22,2,36.35
2024-08-23,3,33.3
2024-08-24,2,35.84
2024-08-25,2,33.45
2024-08-26,2,34.5
2024-08-27,4,23.38
2024-08-28,4,23.86
2024-08-29,2,35.67
2024-08-30,2,38.02
2024-08-31,1,37.04
2024-09-01,3,31.12
2024-09-02,3,29.52
2024-09-03,4,27.64
2024-09-04,2,39.74
2024-09-05,3,30.73
2024-09-06,1,42.69
2024-09-07,2,39.93
2024-09-08,3,28.77
2024-09-09,1,41.08
2024-09-10,3,28.19
2024-09-11,3,29.14
2024-09-12,3,29.28
2024-09-13,3,32.59
2024-09-14,1,42.58
2024-09-15,2,35.25
2024-09-16,2,36.91
2024-09-17,5,19.73
2024-09-18,3,32.33
2024-09-19,4,24.77
2024-09-20,4,26.05
2024-09-21,4,25.03
2024-09-22,2,35.97
2024-09-23,3,29.45
2024-09-24,4,22.74
2024-09-25,2,33.99
2024-09-26,1,44.17
2024-09-27,1,40.33
2024-09-28,2,30.88
2024-09-29,3,27.9
2024-09-30,5,20.02
2024-10-01,3,31.21
2024-10-02,5,17.93
2024-10-03,5,19.63
2024-10-04,3,29.46
2024-10-05,2,32.32
2024-10-06,1,37.6
2024-10-07,1,42.3
2024-10-08,2,34.74
2024-10-09,1,40.9
2024-10-10,2,32.97
2024-10-11,3,32.51
2024-10-12,3,30.27
2024-10-13,4,24.69
2024-10-14,2,37.05
2024-10-15,2,34.59
2024-10-16,4,26.71
2024-10-17,4,24.36
2024-10-18,3,28.85
2024-10-19,3,31.18
2024-10-20,2,33.05
2024-10-21,3,31.61
2024-10-22,5,21.18
2024-10-23,2,34.23
2024-10-24,2,34.26
2024-10-25,1,38.86
2024-10-26,1,39.0
2024-10-27,2,35.07
2024-10-28,2,38.29
2024-10-29,5,19.14
2024-10-30,5,21.06
2024-10-31,3,29.89
2024-11-01,3,29.48
2024-11-02,3,30.59
2024-11-03,1,39.03
2024-11-04,2,32.61
2024-11-05,4,23.3
2024-11-06,2,33.01
2024-11-07,2,36.95
2024-11-08,1,40.74
2024-11-09,1,40.81
2024-11-10,2,36.77
2024-11-11,2,37.6
2024-11-12,3,28.16
2024-11-13,4,24.42
2024-11-14,4,23.04
2024-11-15,3,29.18
2024-11-16,2,32.34
2024-11-17,2,33.77
2024-11-18,3,32.78
2024-11-19,5,22.32
2024-11-20,3,28.39
2024-11-21,3,32.97
2024-11-22,4,29.19
2024-11-23,2,36.24
2024-11-24,1,39.51
2024-11-25,3,29.58
2024-11-26,3,30.63
2024-11-27,4,22.77
2024-11-28,5,21.47
2024-11-29,3,30.01
2024-11-30,2,33.7
2024-12-01,1,42.31
2024-12-02,4,27.22
2024-12-03,3,30.35
2024-12-04,3,30.46
2024-12-05,2,34.65
2024-12-06,5,20.61
2024-12-07,1,35.29
2024-12-08,3,27.63
